x_m,y_m,vx_mps,heading_rad,kappa_radpm
-7.3921607059295775,0.30191478002003985,2.336719393527217,0.23589667370234038,-1.7966175581405779
-7.297841650934028,0.31682439574189425,2.6382299983296007,0.08430609241126553,-1.3628590548050779
-7.202384020838792,0.31989459878667925,2.9086521834152337,-0.007244761699432019,-0.6333653793042223
-7.107016114454623,0.3152608225452358,2.8312603657339106,-0.10027216796753549,-1.188411878277364
-7.01253490380533,0.3011306476503791,2.4730619196808874,-0.18876217399848502,-0.8310062243443012
-6.9200687295904215,0.2772681837690378,2.0532986286888995,-0.34065991581209765,-2.3268296354994926
-6.8340739133642865,0.23578676359066236,2.132209503619237,-0.5563065106373186,-2.1577894064743792
-6.7578592609832775,0.1782299670353043,2.4589260597513283,-0.7250143556986928,-1.4233658469195132
-6.690607143882635,0.11041791916013542,2.747056127443375,-0.8506354895087342,-1.224794740328785
-6.632231581152734,0.03483426215647962,2.5796061335527867,-0.9797595168876826,-1.47421868375646
-6.584749613354366,-0.04801221561072141,2.6042422115380752,-1.121108193675523,-1.446458437431945
-6.548587647922537,-0.1364020502426866,2.8778598812931673,-1.2361624347189955,-0.9726572072868905
-6.520851668077023,-0.2277834262156456,3.1276312916257765,-1.3097701422642944,-0.5934277192965927
-6.498471767136181,-0.3206277377971692,3.358880393279392,-1.3536826030850724,-0.18751867123181698
-6.477021728797221,-0.4136822391363574,3.4403528287215455,-1.3170791956840133,0.8288243747842748
-6.449537962031171,-0.5051465610738581,3.5331923055533365,-1.241790026895015,0.7858395869687781
-6.415049442484306,-0.5941938676192708,3.257961575393588,-1.1582298644867142,0.9242226799264408
-6.372973705428627,-0.6799229323199084,3.312944956357675,-1.0713077031830913,0.8937994456328414
-6.323736960591687,-0.7617501354019978,3.323495256768372,-0.9870793627249864,0.8881337863658335
-6.267727770557999,-0.8390992516853729,3.3123190764007755,-0.9009261586305637,0.8941372540524843
-6.205360700948219,-0.9114123636206054,3.5314951031947484,-0.8189950224195518,0.7863869096725438
-6.13766432603769,-0.9787967568066412,3.268330550370571,-0.7451200516581622,0.918367672092188
-6.064393916172251,-1.0400110407578733,3.2071478517861913,-0.6465778039234659,0.9537412984975921
-5.985818302749503,-1.0943174087298646,3.3231580695851832,-0.5637692000547804,0.8883140262782976
-5.902937227216393,-1.1417457521127454,3.251953334893117,-0.4752343796441408,0.9276409872249233
-5.816178022933966,-1.1816621840647383,3.270735400491733,-0.3873358071214595,0.9170176839007169
-5.726255087822242,-1.2138165074622809,3.233333903282873,-0.29910897006386594,0.9383555615231423
