x_m,y_m,vx_mps,heading_rad,kappa_radpm
-67.63130644821776,53.85794713041407,5.55875600987519,0.08080676317367398,-0.31747710793297984
-67.53632458529734,53.86431325085438,5.692079442288517,0.0542705601795106,-0.23971088202962
-67.44122262865373,53.868526471554546,5.822350760416581,0.03568844581978886,-0.1506836488769492
-67.34606564342182,53.871225548073625,5.94977044744783,0.02077791903695932,-0.16446078136283301
-67.25087859730657,53.87246923196171,6.074517954317326,0.005548047907234605,-0.15368192395185012
-67.15568350675225,53.872314288168724,6.19675466492934,-0.008689651218835415,-0.14605402535269005
-67.06049979610374,53.870831870795314,6.316626344602279,-0.022413367284953842,-0.14291929484467167
-66.96534479366213,53.86807194903253,6.434265177728032,-0.03520450114696941,-0.12163053541133437
-66.87022984251688,53.86415775856023,6.549791475865743,-0.047813549600839444,-0.16130763580862875
-66.77518569656463,53.858797751855064,6.663315119167302,-0.06544475034042764,-0.20117054711693913
-66.68024385762847,53.85185929618916,6.774936780319323,-0.07519335778360817,0.09194563836976193
-66.58526540378033,53.845451741041366,6.884748969811722,-0.059787295231421636,0.12489706524851985
-66.49021491531741,53.840200418824686,6.992836933414332,-0.051530197626162025,0.059984121182006994
-66.39513473708048,53.835524404334045,7.09927942662659,-0.046830283888346674,0.05000090073128702
-66.30003343496182,53.83129879754956,7.204149386105453,-0.041993849996063884,0.04959389286554934
-66.20491323166816,53.82752247458234,7.307514514342313,-0.037397005174071914,0.04749284818523813
-66.1097769313594,53.8241762761923,7.4094377909071865,-0.032944602148050964,0.045918968708493296
-66.01462691107662,53.82124596283017,7.509977921227437,-0.028655931766593406,0.0442498081290485
-65.91946539387024,53.818716470667106,7.609189731983529,-0.024520759077084942,0.042533105318407934
-65.82429441744883,53.816572188588246,7.707124520683675,-0.02056514857275672,0.040515718786645026
-65.72911588058244,53.814794914412516,7.803830365744989,-0.016810866435004308,0.03835657845965064
-65.63393148948037,53.81336517904234,7.899352402401323,-0.013262514243686026,0.036200427719850485
-65.53874273663239,53.812263493753825,7.993733068931158,-0.00991682108016593,0.034149578415440016
-65.44355090448359,53.81147144715676,8.0,-0.006752819284896615,0.03232365503687749
-65.34835708643172,53.8109723091136,8.0,-0.003763205067713324,0.03044705396181228
-65.25316222217576,53.81074881993763,8.0,-0.0009655348448559645,0.028398827814549808
-65.15796710274327,53.810783437299705,8.0,0.001670217446204177,0.02694929500053006
-65.06277238359026,53.81106163570429,8.0,0.004144064544412225,0.025030653699147982
-64.96757860369283,53.811567749056884,8.0,0.006470315053098225,0.023842668358553067
-64.87238621005127,53.812288853448024,8.0,0.008648273431325517,0.021882133687331468
-64.77719552663089,53.81320839353218,8.0,0.010641423852614096,0.02000378171508005
-64.68200676854106,53.81430932608442,8.0,0.01246149024671969,0.018251212404638645
-64.58682006452878,53.81557542136555,8.0,0.014107818311982663,0.016293778216102214
-64.49163544557605,53.81698963848865,8.0,0.015583346026861414,0.014843692354947435
-64.39645291388139,53.81853791542954,8.0,0.016915656105688067,0.012967988422468437
-64.30127236985886,53.820203952584116,8.0,0.018062871349446646,0.011291412709390018
